Table S43. Sample information and classifications,,,,,,,,,,
Sample ID,Tip Name,AOS + Howard&Moore Name,AOS + Clements Name,IUCN Name,Howard&Moore Family,Tissue Source,Tissue Number,Voucher Source,Voucher Number,Locality
750,Gralria_guati_L39059,Grallaria guatimalensis,Grallaria guatimalensis,Grallaria guatimalensis,Grallariidae,LSUMZ-B,39059,LSUMZ,171323,"BOLIVIA: La Paz ;Prov. B. Saavedra; 83 km by road E Charazani, Cerro Asunta Pata"
751,Gralria_chth_COP62208,Grallaria chthonia,Grallaria chthonia,Grallaria chthonia,Grallariidae,COP,62208 (toepad),COP,62208,"VENEZUELA: Táchira, Rio Chiquito, Hacienda La Providencia"
753,Gralria_haplo_LSU44651,Grallaria haplonota,Grallaria haplonota,Grallaria haplonota,Grallariidae,LSUMZ-B,44651,MHNSM,DFL1925,"PERU: San Martín, Ca 33 km NE Florida"
755,Gralria_haplo_COP79821,Grallaria haplonota,Grallaria haplonota,Grallaria haplonota,Grallariidae,COP,79821 (toepad),COP,79821,"VENEZUELA: Aragua, P.N. Henri Pittier, Portachuelo, Aragua"
758,Gralria_haplo_LSUMZ89008,Grallaria haplonota,Grallaria haplonota,Grallaria haplonota,Grallariidae,LSUMZ-B,89008,LSUMZ,190528,"PERU: Ucayali; Atalaya, Santenia River Valley, 9.5 km NE Oventeni, 1750m"
759,Gralria_dignis_ANS18198,Grallaria dignissima,Grallaria dignissima,Grallaria dignissima,Grallariidae,ANSP,18198,ANSP,183352,ECUADOR: Sucumbíos; Imuya Cocha
761,Gralria_elu_L11263,Grallaria eludens,Grallaria eludens,Grallaria eludens,Grallariidae,LSUMZ-B,11263,LSUMZ,160493,"PERU: Ucayali ;SE. slope Cerro Tahuayo, ca. 65 km ENE Pucallpa"
763,Gralria_rufcap_L31722,Grallaria ruficapilla,Grallaria ruficapilla,Grallaria ruficapilla,Grallariidae,LSUMZ-B,31722,MHNSM,MJB393,PERU: Cajamarca: Quebrada Lanchal
765,Gralria_watnsi_LSUMZ67064,Grallaria watkinsi,Grallaria watkinsi,Grallaria watkinsi,Grallariidae,LSUMZ-B,67064,LSUMZ,183156,PERU: Tumbes; PN Cerros de Amotape
767,Gralria_bang_ICNICN37881,Grallaria bangsi,Grallaria bangsi,Grallaria bangsi,Grallariidae,ICN,37881,ICN,37881,"COLOMBIA: Magdalena; RN La Cumbre, San Lorenzo"
769,Gralria_kaest_H9703,Grallaria kaestneri,Grallaria kaestneri,Grallaria kaestneri,Grallariidae,IAvH-CT,9703,ICN,36310,"COLOMBIA: Cundinamarca; Guayabetal, Carretera El Calvario-Monterredondo"
771,Gralria_andlus_L8288,Grallaria andicolus,Grallaria andicolus,Grallaria andicolus,Grallariidae,LSUMZ-B,8288,LSUMZ,128528,"PERU: Pasco ;Millpo, E Tambo de Vacas on Pozuzo-Chaglla trail"
773,Gralria_grinuc_FMNH288314,Grallaria griseonucha,Grallaria griseonucha,Grallaria griseonucha,Grallariidae,FMNH,288314 (toepad),FMNH,288314,"VENEZUELA: Táchira, Páramo La Negra"
775,Gralria_rufcin_USNM436486,Grallaria rufocinerea,Grallaria rufocinerea,Grallaria rufocinerea,Grallariidae,USNM,436486 (toepad),USNM,436486,"COLOMBIA: Antioquia, ""Paramo"" Sonson"
777,Gralria_ridlyi_ANS21969,Grallaria ridgelyi,Grallaria ridgelyi,Grallaria ridgelyi,Grallariidae,ANSP,21969,ANSP,187810,"ECUADOR: Zamora-Chinchipe, Quebrada Honda"
779,Gralria_nuclis_LSUMZ348,Grallaria nuchalis,Grallaria nuchalis,Grallaria nuchalis,Grallariidae,LSUMZ-B,348,LSUMZ,97678,PERU: Cajamarca; E slope Cerro Chinguela
782,Gralria_carke_NM32477,Grallaria carrikeri,Grallaria carrikeri,Grallaria carrikeri,Grallariidae,UNM-MSB,32477,CORBIDI,ABJ2140,PERU: Amazonas; Utcubamba; dist. Lonya Grande; ca. 4.5 km N Tullanya
784,Gralria_albgul_LSUMZ570,Grallaria albigula,Grallaria albigula,Grallaria albigula,Grallariidae,LSUMZ-B,570,LSUMZ,98368,"PERU: Puno ;Abra de Maruncunca, 10 km SW San Juan del Oro"
786,Gralria_flavtin_FMNH251116,Grallaria flavotincta,Grallaria flavotincta,Grallaria flavotincta,Grallariidae,FMNH,251116 (toepad),FMNH,251116,"COLOMBIA: Nariño, Ricaurte"
788,Gralria_hypleu_L34833,Grallaria hypoleuca,Grallaria hypoleuca,Grallaria hypoleuca,Grallariidae,LSUMZ-B,34833,LSUMZ,172181,"PERU: Cajamarca ;Cordillera del Condor, Picorana"
790,Gralria_przski_LSUMZ43719,Grallaria przewalskii,Grallaria przewalskii,Grallaria przewalskii,Grallariidae,LSUMZ-B,43719,MHNSM,DFL1739,"PERU: San Martín, ca 24 km ENE Florida, 5 degrees 41' 9"" S, 77 degrees 45' 16"" W"
792,Gralria_caplis_L8119,Grallaria capitalis,Grallaria capitalis,Grallaria capitalis,Grallariidae,LSUMZ-B,8119,LSUMZ,128531,"PERU: Pasco ;Playa Pampa, ca 8 km NW Cushi on trail to Chaglla"
794,Gralria_eryleu_FMN390686,Grallaria erythroleuca,Grallaria erythroleuca,Grallaria erythroleuca,Grallariidae,FMNH,390686,FMNH,390686,"PERU: Junín; Cordillera Vilcabamba, headwaters Rio Poyeni"
796,Gralria_rufula_H2521,Grallaria rufula,Grallaria rufula,Grallaria rufula,Grallariidae,IAvH-CT,2521,IAvH,12621,"COLOMBIA: Meta, San Juanito, Plan de San Luis, Sector de San José, PNN Chingaza. "
800,Gralria_rufula_L32257,Grallaria rufula,Grallaria rufula,Grallaria rufula,Grallariidae,LSUMZ-B,32257,LSUMZ,169894,"PERU: Cajamarca, Quebrada Lanchal"
802,Gralria_rufula_L3520,Grallaria rufula,Grallaria rufula,Grallaria rufula,Grallariidae,LSUMZ-B,3520,LSUMZ,113579,"PERU: Huánuco ;Bosque San Marcos, 16 km W Panao"
804,Gralria_rufula_K21173,Grallaria rufula,Grallaria rufula,Grallaria rufula,Grallariidae,KU,21173,KU,115475,PERU: Puno; Sina
806,Gralria_rufula_L1218,Grallaria rufula,Grallaria rufula,Grallaria rufula,Grallariidae,LSUMZ-B,1218,LSUMZ,102241,BOLIVIA: La Paz ;1 km S Chuspipata
808,Gralria_blak_LSUMZ43818,Grallaria blakei,Grallaria blakei,Grallaria blakei,Grallariidae,LSUMZ-B,43818,LSUMZ,174009,PERU: San Martín ;Ca. 22 km ENE Florida
810,Gralria_blak_LSUMZ8104,Grallaria blakei,Grallaria blakei,Grallaria blakei,Grallariidae,LSUMZ-B,8104,LSUMZ,170664,"PERU: Pasco; Playa Pampa, ca. 8km NW Cushi on trail to Chaglla"
811,Gralria_quit_H2523,Grallaria rufula,Grallaria rufula,Grallaria rufula,Grallariidae,IAvH-CT,2573,IAvH,12688,"COLOMBIA: Cundinamarca, Guasca, San Francisco, Sector de Palacio, Reserva Forestal de Río Blanco"
814,Gralria_quit_LSUMZ32395,Grallaria quitensis,Grallaria quitensis,Grallaria quitensis,Grallariidae,LSUMZ-B,32395,LSUMZ,169898,"PERU: Cajamarca, Quebrada Lanchal, ca 8 km ESE Salique, 5 41.2 S, 79 15.0 W, ca 2900m"
819,Gralria_miller_H4622,Grallaria milleri,Grallaria milleri,Grallaria milleri,Grallariidae,IAvH-CT,4622,IAvH,13205,COLOMBIA: Caldas; La Miel
821,Gralria_erytis_LSUMZ68092,Grallaria erythrotis,Grallaria erythrotis,Grallaria erythrotis,Grallariidae,LSUMZ-B,68092,MHNNKM,RST23,"BOLIVIA: Cochabamba; Scaba; Tablas Monte; 17º09'59.7""S, 65º53'07.5""W, 2800m"
823,Hylope_pertus_W76892,Hylopezus perspicillatus,Hylopezus perspicillatus,Hylopezus perspicillatus,Grallariidae,UWBM,76892,UWBM,76892,"PANAMA: Panamá, confluence of Rio Chagres and Rio Chagrecito 9.38/-79.32"
825,Hylope_macius_SB11822,Hylopezus macularius,Hylopezus macularius,Hylopezus macularius,Grallariidae,USNM,11822,USNM,625539,"GUYANA: Gunn'S Landing, 10 km SSE"
827,Hylope_macius_MPEGUHE388,Hylopezus paraensis,Hylopezus paraensis,Hylopezus macularius,Grallariidae,MPEG,55691,MPEG,55691,"BRAZIL: Pará; Rio Xingu, margem direita, Senador José Porfírio (3o31'47.2""S, 51o43'58.6""W)"
829,Hylope_macius_F389869,Hylopezus whittakeri,Hylopezus whittakeri,Hylopezus macularius,Grallariidae,FMNH,389869,MPEG,ATP86-080,"BRAZIL: Rondônia; Cachoeira Nazare, W bank Rio Jiparana"
831,Hylope_aurris_FMNH391157,Hylopezus auricularis,Hylopezus auricularis,Hylopezus auricularis,Grallariidae,FMNH,391157,FMNH,391157,"BOLIVIA: El Beni; Hamburgo, 1 km W Riberalta"
833,Hylope_dives_LSUMZ26086,Hylopezus dives,Hylopezus dives,Hylopezus dives,Grallariidae,LSUMZ-B,26086,LSUMZ,161381,"HONDURAS: Gracias a Dios, Las Marías, on Rio Plátano, 25 km S Caribbean Sea"
835,Hylope_fultri_L42791,Hylopezus fulviventris,Hylopezus fulviventris,Hylopezus fulviventris,Grallariidae,LSUMZ-B,42791,LSUMZ,173005,PERU: Loreto ;Ca. 54 km NNW mouth Río Morona on west bank
837,Hylope_berle_L18312,Hylopezus berlepschi,Hylopezus berlepschi,Hylopezus berlepschi,Grallariidae,LSUMZ-B,18312,LSUMZ,153428,"BOLIVIA: Santa Cruz ;Velasco, Parque Nacional Noel Kempff Mercado, 86 km ESE Florida"
839,Hylope_ochleu_MPEGSRV004,Hylopezus ochroleucus,Hylopezus ochroleucus,Hylopezus ochroleucus,Grallariidae,MPEG,68135,MPEG,68135,"BRAZIL: Piauí; Curimatá, Serra Vermelha (9o41'284""S;44o14'200""W)"
841,Hylope_natte_MZU91884,Hylopezus nattereri,Hylopezus nattereri,Hylopezus nattereri,Grallariidae,MZUSP,91884,MZUSP,91884,"BRAZIL: Santa Catarina, Taquaras (Estrada de acesso) Mun. Rancho Queimado"
845,Myrthe_camson_SB09170,Myrmothera campanisona,Myrmothera campanisona,Myrmothera campanisona,Grallariidae,USNM,9170,USNM,586403,"GUYANA: Barima-Waini;Baramita, In Former North West Region"
849,Myrthe_simplex_SB23561,Myrmothera simplex,Myrmothera simplex,Myrmothera simplex,Grallariidae,USNM,23561,USNM,639140,"GUYANA: Mount Roraima, North Slope"
851,Gralula_flaviro_L44339,Grallaricula flavirostris,Grallaricula flavirostris,Grallaricula flavirostris,Grallariidae,LSUMZ-B,44339,LSUMZ,174016,PERU: San Martín ;Ca. 24 km ENE Florida
853,Gralula_loric_COPJP444,Grallaricula loricata,Grallaricula loricata,Grallaricula loricata,Grallariidae,COP,JP444,COP,83996,"VENEZUELA: Yaracuy, Sierra de Aroa; 2 Km vía Curumaguas, Las Antenas"
858,Gralula_peruvi_LSUMZ32665,Grallaricula peruviana,Grallaricula peruviana,Grallaricula peruviana,Grallariidae,LSUMZ-B,32665,LSUMZ,165304,"PERU: Cajamarca ;Quebrada Las Palmas, ca 13 km WSW Chontali"
860,Gralula_ochfron_LSUMZ44156,Grallaricula ochraceifrons,Grallaricula ochraceifrons,Grallaricula ochraceifrons,Grallariidae,LSUMZ-B,44156,LSUMZ,174019,"PERU: San Martín; Ca 22 km ENE Florida, 5 degrees 43' 23"" S, 77 degrees 45' 1"" W"
862,Gralula_ferpec_H11203,Grallaricula ferrugineipectus,Grallaricula ferrugineipectus,Grallaricula ferrugineipectus,Grallariidae,IAvH-CT,11203,IAvH,8378,"COLOMBIA: Magdalena, Santa Marta, Minca, Cuchilla de San Lorenzo"
866,Gralula_ferpec_LSUMZ8056,Grallaricula ferrugineipectus,Grallaricula ferrugineipectus,Grallaricula leymebambae,Grallariidae,LSUMZ-B,8056,LSUMZ,128566,"PERU: Pasco, Playa Pampa, ca 8 km NW Cushi on trail to Chaglia"
868,Gralula_nana_H4025,Grallaricula nana,Grallaricula nana,Grallaricula nana,Grallariidae,IAvH-CT,4025,IAvH,13387,"COLOMBIA: Risaralda; PNN Tatamá, La Cumbre"
874,Gralula_cum_COPIC1172,Grallaricula cumanensis,Grallaricula cumanensis,Grallaricula cumanensis,Grallariidae,COP,IC1172,COP,IC1172,"VENEZUELA: Monagas, Caripe; Cerro Negro"
877,Gralula_linfro_IC33814,Grallaricula lineifrons,Grallaricula lineifrons,Grallaricula lineifrons,Grallariidae,ICN,33814,ICN,33814,"COLOMBIA: Nariño, SFF Volcán Galeras, Vertiente E"
879,Psilor_gutus_LGE2991,Psilorhamphus guttatus,Psilorhamphus guttatus,Psilorhamphus guttatus,Rhinocryptidae,LGEMA,2991,MZUSP,80000,"BRAZIL: São Paulo, Bananal, E. E. Bananal"
880,Psilor_gutus_LGE2403,Psilorhamphus guttatus,Psilorhamphus guttatus,Psilorhamphus guttatus,Rhinocryptidae,LGEMA,2403,MZUSP,76714,"BRAZIL: São Paulo, Juquitiba"
882,Liosce_thocus_GJUR46,Liosceles thoracicus,Liosceles thoracicus,Liosceles thoracicus,Rhinocryptidae,MPEG,JUR-046,MPEG,70040,"BRAZIL: Acre; Feijó, Baixo Rio Jurupari, Humaitá (07o57'36,0""S;69o56'45,0""W)"
884,Acropt_ortnyx_L30027,Acropternis orthonyx,Acropternis orthonyx,Acropternis orthonyx,Rhinocryptidae,LSUMZ-B,30027,LSUMZ,162108,ECUADOR: Carchi;Ca. 15 km SE Maldonado
886,Rhinoc_lanata_A6107,Rhinocrypta lanceolata,Rhinocrypta lanceolata,Rhinocrypta lanceolata,Rhinocryptidae,AMNH-DOT,6107,AMNH,833279,"BOLIVIA: Santa Cruz; Cordillera, Izozog, Comunidad Karapari, Estancia San Julian, 1000 m W of Parapetí, 19d 46' S 62d 42' W."
888,Teledr_fuscus_A10368,Teledromas fuscus,Teledromas fuscus,Teledromas fuscus,Rhinocryptidae,AMNH-DOT,10368,AMNH,SKEL 26891,"ARGENTINA: Neuquén; Añelo, Sierra Auca Mahuida "
890,Pterop_caseus_A12220,Pteroptochos castaneus,Pteroptochos castaneus,Pteroptochos castaneus,Rhinocryptidae,AMNH-DOT,12220,AMNH,"FLUID 11694, SKEL 24361","CHILE: Region VIII (Bio Bio); Nuble, 6 km by road WSW Termas de Chillan"
892,Pterop_tarnii_A12201,Pteroptochos tarnii,Pteroptochos tarnii,Pteroptochos tarnii,Rhinocryptidae,AMNH-DOT,12201,AMNH,"FLUID 11693, SKEL 24348","CHILE: Region VIII (Bio Bio) Bio Bio; ca 15 km by road SE Ralco, N side of Rio Bio Bio, nr SE end of Embalse El Panque"
894,Pterop_megpod_A12225,Pteroptochos megapodius,Pteroptochos megapodius,Pteroptochos megapodius,Rhinocryptidae,AMNH-DOT,12225,AMNH,24364,"CHILE: Region V (Valparaiso); Los Andes, ca. 7 km by road WNW Higueral"
898,Scelor_rubula_A9927,Scelorchilus rubecula,Scelorchilus rubecula,Scelorchilus rubecula,Rhinocryptidae,AMNH-DOT,9927,AMNH,SKEL 23941,ARGENTINA: Río Negro; Bariloche
904,Merula_strman_MZU1408,Merulaxis stresemanni,Merulaxis stresemanni,Merulaxis stresemanni,Rhinocryptidae,MZUFV,1408,MZUFV,1408,"BRAZIL: Bahia, Bandeira"
906,Eleosc_psypom_MZUSP33429,Eleoscytalopus psychopompus,Eleoscytalopus psychopompus,Eleoscytalopus psychopompus,Rhinocryptidae,MZUSP,33429 (toepad),MZUSP,33429,"BRAZIL: Bahia, Ilheus"
908,Eleosc_indigo_SP91216,Eleoscytalopus indigoticus,Eleoscytalopus indigoticus,Eleoscytalopus indigoticus,Rhinocryptidae,MZUSP,91216,MZUSP,91216,"BRAZIL: Santa Catarina, Nova Trento"
910,Eugral_paroxa_A12219,Eugralla paradoxa,Eugralla paradoxa,Eugralla paradoxa,Rhinocryptidae,AMNH-DOT,12219,AMNH,836982,"CHILE: Region IX (De La Araucana); Cantin, Chacamo"
912,Myornis_senil_L32297,Myornis senilis,Myornis senilis,Myornis senilis,Rhinocryptidae,LSUMZ-B,32297,LSUMZ,169871,"PERU: Cajamarca ;Quebrada Lanchal, ca. 8 km ESE Sallique"
916,Scyta_latra_H4617,Scytalopus latrans,Scytalopus latrans,Scytalopus latrans,Rhinocryptidae,IAvH-CT,4617,IAvH,13198,"COLOMBIA: Caldas, La Miel"
918,Scyta_latra_LSUMZ497095,Scytalopus latrans,Scytalopus latrans,Scytalopus latrans,Rhinocryptidae,LSUMZ-B,49704,MHNSM,DFL2223,"PERU: Amazonas; Above Leimebcumba, ca 37 km NE CelendÕn, 6_ 43'S, 77_ 51' W"
920,Scyta_unico_NM35157,Scytalopus unicolor,Scytalopus unicolor,Scytalopus unicolor,Rhinocryptidae,UNM-MSB,35157,CORBIDI,NA,"PERU: Cajamarca, ca 5.4 km SE Contumaza"
922,Scyta_partri_L8184,Scytalopus parvirostris,Scytalopus parvirostris,Scytalopus parvirostris,Rhinocryptidae,LSUMZ-B,8184,LSUMZ,128577,"PERU: Pasco ;Playa Pampa, ca 8 km NW Cushi on trail to Chaglla"
923,Scyta_partri_L1281,Scytalopus parvirostris,Scytalopus parvirostris,Scytalopus parvirostris,Rhinocryptidae,LSUMZ-B,1281,LSUMZ,102257,"BOLIVIA: La Paz, Ca 1 km S Chuspipata"
924,Scyta_specae_MPEGCMN14,Scytalopus speluncae,Scytalopus speluncae,Scytalopus speluncae,Rhinocryptidae,MPEG,CMN-14,MPEG,64839,"BRAZIL: Santa Catarina; Timbé do Sul, ca 10 km NW (28o48'23,4""S;49o56'53,4""W)"
925,Scyta_specae_MCP1989,Scytalopus speluncae,Scytalopus speluncae,Scytalopus speluncae,Rhinocryptidae,MCP,1989,MCP,1989,"BRAZIL: São Paulo, Entrada do Parque Nacional da Serra da Bocaina, Municipality of São Joe de Barreiro, 21 III 2007"
926,Scyta_specae_MCP1994,Scytalopus speluncae,Scytalopus speluncae,Scytalopus speluncae,Rhinocryptidae,MCP,1994,MCP,1994,"BRAZIL: Rio de Janeiro, Serra do São Bernardo, 23 III 2007"
927,Scyta_specae_MCP2048,Scytalopus speluncae,Scytalopus speluncae,Scytalopus speluncae,Rhinocryptidae,MCP,2048,MCP,2048,"BRAZIL: Minas Gerais, Serra do Lopo, Monte Verde Distrit, Camanducaia Municipality"
928,Scyta_specae_MCP2166,Scytalopus speluncae,Scytalopus speluncae,Scytalopus speluncae,Rhinocryptidae,MCP,2166,MCP,2166,"BRAZIL: Santa Catarina, Fazenda Papagaio, Bom Jardim da Serra Municipality 15 II 2008"
929,Scyta_specae_MCP2173,Scytalopus speluncae,Scytalopus speluncae,Scytalopus speluncae,Rhinocryptidae,MCP,2173,MCP,2173,"BRAZIL: São Paulo, Serra do Macaco, Barra de Chapéu 1 IV 2008"
930,Scyta_specae_MCP2065,Scytalopus speluncae,Scytalopus speluncae,Scytalopus speluncae,Rhinocryptidae,MCP,2065,MCP,2065,"BRAZIL: Paraná, Cerro do Leão, Serra da Boa Esperança, Municipality of Irati, 24 I 2007"
932,Scyta_diam_MCPMRB130,Scytalopus diamantinensis,Scytalopus diamantinensis,Scytalopus diamantinensis,Rhinocryptidae,MCP,MRB130,MCP,MRB130,"BRAZIL: Bahia, Toca do Urubú"
935,Scyta_petlus_MNT2,Scytalopus petrophilus,Scytalopus petrophilus,Scytalopus petrophilus,Rhinocryptidae,MCP,MNT2,MCP,MNT2,"BRAZIL: Minas Gerais, Bocaina de Minas"
937,Scyta_pache_MCP2052,Scytalopus pachecoi,Scytalopus pachecoi,Scytalopus pachecoi,Rhinocryptidae,MCP,2052,MCP,2052,"BRAZIL: Santa Catarina, Abelardo Luz"
939,Scyta_irai_MPEG52945,Scytalopus iraiensis,Scytalopus iraiensis,Scytalopus iraiensis,Rhinocryptidae,MPEG,52945 (toepad),MPEG,52945,"BRAZIL: Paraná, Quatro Barras"
941,Scyta_macpus_K14768,Scytalopus macropus,Scytalopus macropus,Scytalopus macropus,Rhinocryptidae,KU,14768,KU,113879,PERU: Junín; along Rio Satipo
943,Scyta_santae_IAvHBT11830,Scytalopus sanctaemartae,Scytalopus sanctaemartae,Scytalopus sanctaemartae,Rhinocryptidae,IAvH-CT,11830,ANDES,O-451,"COLOMBIA: Magdalena; Santa Marta, Sierra Nevada de Santa Marta, Cgto. Minca, Cerro San Lorenzo, Vista Nieve"
945,Scyta_micro_L33612,Scytalopus micropterus,Scytalopus micropterus,Scytalopus micropterus,Rhinocryptidae,LSUMZ-B,33612,LSUMZ,172200,"PERU: Cajamarca ;Nuevo Perú, 16 km NE junction ríos Tabaconas and Chinchipe, 5 17 S, 78 39.8 W"
949,Scyta_atrtus_L5534,Scytalopus atratus,Scytalopus atratus,Scytalopus atratus,Rhinocryptidae,LSUMZ-B,5534,LSUMZ,116984,"PERU: San Martín; ca 15 km by trail NE Jirillo on trail to Balsapuerto, 1350m"
954,Scyta_bolnus_L37419,Scytalopus bolivianus,Scytalopus bolivianus,Scytalopus bolivianus,Rhinocryptidae,LSUMZ-B,37419,LSUMZ,168972,"BOLIVIA: Santa Cruz ;Chuchial, ca. 37 km SE Samaipata"
956,Scyta_argen_L16027,Scytalopus argentifrons,Scytalopus argentifrons,Scytalopus argentifrons,Rhinocryptidae,LSUMZ-B,16027,LSUMZ,138717,"COSTA RICA: Heredia;Finca La Fortuna, ca 4 km SE Virgen del Socorro"
958,Scyta_panmen_ICJEA1019,Scytalopus panamensis,Scytalopus panamensis,Scytalopus panamensis,Rhinocryptidae,ANDES,JEA 1019,ICN,38181,"COLOMBIA: Chocó, Serranía de Darién"
960,Scyta_choco_L30006,Scytalopus chocoensis,Scytalopus chocoensis,Scytalopus chocoensis,Rhinocryptidae,LSUMZ-B,30006,LSUMZ,162109,"ECUADOR: Esmeraldas;Ca. 2.7 km E Alto Tambo, 0 53 47.1 N, 78 32 5.2 W, ca 850m"
964,Scyta_stiesi_H2119,Scytalopus stilesi,Scytalopus stilesi,Scytalopus stilesi,Rhinocryptidae,IAvH-CT,2119,ICN,34610,"COLOMBIA: Antioquia; Amalfi, Bosque Las Animas"
966,Scyta_robnsi_L7840,Scytalopus robbinsi,Scytalopus robbinsi,Scytalopus robbinsi,Rhinocryptidae,LSUMZ-B,7840,ANSP,107606,ECUADOR: El Oro; 9.5 km by road W Piñas
968,Scyta_vicior_H2487,Scytalopus vicinior,Scytalopus vicinior,Scytalopus vicinior,Rhinocryptidae,IAvH-CT,2487,IAvH,12520,"COLOMBIA: Valle; La Cumbre, Chicoral, Bitaco, Cuenca alta del río Bitaco"
970,Scyta_latebr_ANDESCDC82,Scytalopus latebricola,Scytalopus latebricola,Scytalopus latebricola,Rhinocryptidae,ANDES,CDC 22,ICN,36257,"COLOMBIA: Magdalena, Santa Marta, cgto. Minca, Cerro San Lorenzo (Sierra Nevada de Santa Marta)"
972,Scyta_pernus_HAMC882,Scytalopus perijanus,Scytalopus perijanus,Scytalopus perijanus,Rhinocryptidae,IAvH-CT,11355,ICN,36734,"COLOMBIA: Cesar; Manaure, El Cinco"
974,Scyta_mernus_PhAMC1152,Scytalopus meridanus,Scytalopus meridanus,Scytalopus meridanus,Rhinocryptidae,COP,84105,COP,84105,"VENEZUELA: Táchira, PN Paramos El Batallon y La Negra, Alto Rio Bobo; 8.01 N 71.96 W"
976,Scyta_carcae_MLS13165,Scytalopus caracae,Scytalopus caracae,Scytalopus caracae,Rhinocryptidae,MLS,13165 (toepad),MLS,13165,"VENEZUELA: PN El Ávila, Boquerón"
978,Scyta_spiman_L6267,Scytalopus spillmanni,Scytalopus spillmanni,Scytalopus spillmanni,Rhinocryptidae,LSUMZ-B,6267,ANSP,176872,"ECUADOR: Pichincha; W slope of W Andes, on road from Quito to Mindo"
980,Scyta_pareri_L32025,Scytalopus parkeri,Scytalopus parkeri,Scytalopus parkeri,Rhinocryptidae,LSUMZ-B,32025,LSUMZ,169868,"PERU: Cajamarca, Quebrada Lanchal, ca 8 km ESE Salique, 5 41.2 S, 79 15.0 W, ca 2900m"
981,Scyta_pareri_LSUMZ390,Scytalopus parkeri,Scytalopus parkeri,Scytalopus parkeri,Rhinocryptidae,LSUMZ-B,390,LSUMZ,97694,"PERU: Cajamarca,E slope Cerro Chinguela, ca 7 km NE Sapalache"
982,Scyta_novcap_SP78807,Scytalopus novacapitalis,Scytalopus novacapitalis,Scytalopus novacapitalis,Rhinocryptidae,MZUSP,78807,MZUSP,78807,"BRAZIL: Minas Gerais, Chapadãozinho, Sao José do Barreiro"
983,Scyta_novcap_MNT4,Scytalopus novacapitalis,Scytalopus novacapitalis,Scytalopus novacapitalis,Rhinocryptidae,MCP,MNT4,MCP,MNT4,"BRAZIL: Minas Gerais, Tapira, Santuario do Caraça, Santa Barbara"
985,Scyta_magel_A12202,Scytalopus magellanicus,Scytalopus magellanicus,Scytalopus magellanicus,Rhinocryptidae,AMNH-DOT,12202,AMNH,24350,"CHILE: Region VIII; Bio Bio, ca 15 km by road SE Ralco, N side of Rio Bio Bio, nr SE end of Embalse El Panque"
986,Scyta_magel_MCZ85311,Scytalopus magellanicus,Scytalopus magellanicus,Scytalopus magellanicus,Rhinocryptidae,MCZ,85311 (toepad),MCZ,85311,ARGENTINA: Río Negro; Bariloche
988,Scyta_grilis_H2583,Scytalopus griseicollis,Scytalopus griseicollis,Scytalopus griseicollis,Rhinocryptidae,IAvH-CT,2583,IAvH,12701,"COLOMBIA: Cundinamarca; Guasca, San Francisco, Sector de Palacio, Reserva Forestal de Río Blanco"
990,Scyta_grilis_HAMC959,Scytalopus griseicollis,Scytalopus griseicollis,Scytalopus griseicollis,Rhinocryptidae,IAvH-CT,11534,IAvH,14948,"COLOMBIA: Norte de Santander, PNN Tamá, Alto El Pesebre"
992,Scyta_altir_L43814,Scytalopus altirostris,Scytalopus altirostris,Scytalopus altirostris,Rhinocryptidae,LSUMZ-B,43814,LSUMZ,174042,PERU: San Martín ;Ca. 22 km ENE Florida
994,Scyta_affin_L72423,Scytalopus affinis,Scytalopus affinis,Scytalopus affinis,Rhinocryptidae,LSUMZ-B,72423,CORBIDI,JRS337,"PERU: Lima, 2 km NNE Quichas"
996,Scyta_acuti_L49668,Scytalopus acutirostris,Scytalopus acutirostris,Scytalopus acutirostris,Rhinocryptidae,LSUMZ-B,49668,LSUMZ,179574,"PERU: Junín ;Chilifruta, ca. 35 km ENE Huancayo"
998,Scyta_urubae_KU29564,Scytalopus urubambae,Scytalopus urubambae,Scytalopus urubambae,Rhinocryptidae,KU,29564,KU,122623,"PERU: Cusco, above Paccaypata"
1002,Scyta_zimme_ANSP146341,Scytalopus zimmeri,Scytalopus zimmeri,Scytalopus zimmeri,Rhinocryptidae,ANSP,146341 (toepad),ANSP,146341,"BOLIVIA: Chuquisaca, Padilla, 25 mi E Padilla"
1005,Scyta_supcil_SB5803,Scytalopus superciliaris,Scytalopus superciliaris,Scytalopus superciliaris,Rhinocryptidae,USNM,5803,USNM,616265,"ARGENTINA: Tucumán;San Miguel De Tucumán, 20 km S, 40 km W"
1007,Scyta_fuscus_A12143,Scytalopus fuscus,Scytalopus fuscus,Scytalopus fuscus,Rhinocryptidae,AMNH-DOT,12143,AMNH,24311,"CHILE: Region Metropolitana; Chacabuco, ca 4 km SSW by road from peak of Cerro de El Roble"
1009,Scyta_canu_USNM436508,Scytalopus canus,Scytalopus canus,Scytalopus canus,Rhinocryptidae,USNM,436508 (toepad),USNM,436508,"COLOMBIA: Antioquia, Paramo de Frontino"
1011,Scyta_opacus_L32213,Scytalopus opacus,Scytalopus opacus,Scytalopus opacus,Rhinocryptidae,LSUMZ-B,32213,LSUMZ,169861,"PERU: Cajamarca; Quebrada Lanchal, ca 8 km ESE Sallique, 5 41.2 S, 79 15.0 W, ca 3300m"
