Table S43. Sample information and classifications,,,,,,,,,,
Sample ID,Tip Name,AOS + Howard&Moore Name,AOS + Clements Name,IUCN Name,Howard&Moore Family,Tissue Source,Tissue Number,Voucher Source,Voucher Number,Locality
48,Euchre_humer_LSU7044,"Euchrepomis \humeralis\\\\\""""","Euchrepomis \humeralis\\\\\""""",Euchrepomis humeralis,Thamnophilidae,LSUMZ-B,7044,LSUMZ,119769,"PERU: Loreto, Quebrada Oran, ca 5 km N Rio Amazonas, 85 km NE Iquitos"
49,Euchre_humer_LSU42855,Euchrepomis humeralis,Euchrepomis humeralis,Euchrepomis humeralis,Thamnophilidae,LSUMZ-B,42855,MHNSM,KE163,"PERU: Loreto, Ca 54 km NNW mouth of Rio Morona, on west bank, 4 degrees 16' 51"" S, 77 degrees 14' 16"" W"
50,Euchre_humer_LSU40880,Euchrepomis humeralis,Euchrepomis humeralis,Euchrepomis humeralis,Thamnophilidae,LSUMZ-B,40880,MHNSM,DFL1465,"PERU: Loreto, 86 km SE Juanjui on upper Rio Pauya, 7 degrees 35'10""S, 75 degrees 56'01""W"
51,Euchre_spoila_LSU25416,Euchrepomis spodioptila,Euchrepomis spodioptila,Euchrepomis spodioptila,Thamnophilidae,LSUMZ-B,25416,INPA,MCH376,"BRAZIL: Amazonas, Ca 6 km E Borba by ""Puxurizal"" road"
52,Euchre_humer_MPEG63205,Euchrepomis humeralis,Euchrepomis humeralis,Euchrepomis humeralis,Thamnophilidae,MPEG,63205,MPEG,63205,"BRAZIL: Amazonas, Careiro, Br 319 km 158, Tupana Lodge (04o05'0,02""S;60o39'37,8""W)"
53,Euchre_humer_LSU4829,Euchrepomis humeralis,Euchrepomis humeralis,Euchrepomis humeralis,Thamnophilidae,LSUMZ-B,4829,LSUMZ,115331,"PERU: Loreto, S Río Amazonas, 10 km SSW mouth Río Napo on E bank Quebrada Vainilla"
54,Euchre_sharp_LSU22813,Euchrepomis sharpei,Euchrepomis sharpei,Euchrepomis sharpei,Thamnophilidae,LSUMZ-B,22813,LSUMZ,162682,"BOLIVIA: La Paz, B. Saavedra; 83 km by road E Charazani, Cerro Asunta Pata"
56,Euchre_spoila_SB5113,Euchrepomis spodioptila,Euchrepomis spodioptila,Euchrepomis spodioptila,Thamnophilidae,USNM,5113,KU,86459,"GUYANA: Essequibo, Waruma River, E bank, ca. 15 river km S Kako River, 475 m"
57,Euchre_spoila_LSU77765,Euchrepomis spodioptila,Euchrepomis spodioptila,Euchrepomis spodioptila,Thamnophilidae,LSUMZ-B,77765,MZUSP,92824,"BRAZIL: Amazonas, Rio Tapajós (margem esquerda), Barra de São Manoel"
58,Euchre_spoila_ANSP152407,Euchrepomis spodioptila,Euchrepomis spodioptila,Euchrepomis spodioptila,Thamnophilidae,ANSP,152407 (toepad),ANSP,152407,"COLOMBIA: Caquetá, Morelia"
60,Cymlai_lintus_IN1551,Cymbilaimus lineatus,Cymbilaimus lineatus,Cymbilaimus lineatus,Thamnophilidae,INPA,A-1551,INPA,LNN 439,"BRAZIL: Roraima, 55 km SE Caracarai; margem esquerda R Branco, Vicinal Itã"
61,Cymlai_lintus_LSU28690,Cymbilaimus lineatus,Cymbilaimus lineatus,Cymbilaimus lineatus,Thamnophilidae,LSUMZ-B,28690,STRI,DLD6002,"PANAMA: Panamá, Old Gamboa Road, 5 Kilometers NW Paraiso, 9 degrees 03'30"" W,79 degrees 39'03 W"
62,Cymlai_lintus_MZU92809,Cymbilaimus lineatus,Cymbilaimus lineatus,Cymbilaimus lineatus,Thamnophilidae,MZUSP,92809,MZUSP,92809,"BRAZIL: Amazonas, Rio Tapajós (margem esquerda), Barra de São Manoel"
63,Cymlai_saniae_F389851,Cymbilaimus sanctaemariae,Cymbilaimus sanctaemariae,Cymbilaimus sanctaemariae,Thamnophilidae,FMNH,389851,MPEG,39852,"BRAZIL: Rondônia, Cachoeira Nazare, W bank Rio Jiparana"
65,Hypleu_gutus_WDHB1805,Hypoedaleus guttatus,Hypoedaleus guttatus,Hypoedaleus guttatus,Thamnophilidae,UWBM,DHB-1805,UWBM,70299,"ARGENTINA: Misiones, Posadas"
66,Hypleu_gutus_MCP3130,Hypoedaleus guttatus,Hypoedaleus guttatus,Hypoedaleus guttatus,Thamnophilidae,MCP,3130,MCP,3130,"BRAZIL: Bahia, RPPN Serra Bonita, Camacan"
68,Batara_cinrea_LSU18607,Batara cinerea,Batara cinerea,Batara cinerea,Thamnophilidae,LSUMZ-B,18607,LSUMZ,153724,"BOLIVIA: Santa Cruz, Cordillera, Estancia Perforación, ca. 130 km E Charagua"
69,Macken_leach_SB5986,Mackenziaena leachii,Mackenziaena leachii,Mackenziaena leachii,Thamnophilidae,USNM,5986,USNM,609544,"ARGENTINA: Misiones;Posadas, 45 km N, 80 km E"
71,Macken_sever_KU3729,Mackenziaena severa,Mackenziaena severa,Mackenziaena severa,Thamnophilidae,KU,3729,KU,91646,"PARAGUAY: Itapúa, San Rafael National Park, Parabel"
73,Freder_virdis_S9259,Frederickena viridis,Frederickena viridis,Frederickena viridis,Thamnophilidae,USNM,9259,USNM,586359,"GUYANA: Barima-Waini; Baramita, In Former North West Region"
76,Freder_undul_LSU4826,Frederickena unduliger,Frederickena unduliger,Frederickena unduliger,Thamnophilidae,LSUMZ-B,4826,LSUMZ,115171,"PERU: Loreto, S Rio Amazonas, ca 10km SSW mouth Rio Napo on E bank Quebrada Vainilla"
77,Freder_undul_MZUSPJ282,Frederickena unduliger,Frederickena unduliger,Frederickena unduliger,Thamnophilidae,MZUSP,108679,MZUSP,108679,"BRAZIL: Rondônia, margem esquerda Rio Madeira, Abunã, T11 9º38'32""S, 65º26'44""W"
78,Freder_fulva_LSU4281,Frederickena fulva,Frederickena fulva,Frederickena unduliger,Thamnophilidae,LSUMZ-B,4281,LSUMZ,115168,"PERU: Loreto, Lower Rio Napo region, E. bank Rio Yanayacu, ca. 90km N Iquitos"
80,Taraba_major_L12814,Taraba major,Taraba major,Taraba major,Thamnophilidae,LSUMZ-B,12814,LSUMZ,137086,"BOLIVIA: Santa Cruz; Velasco; W. bank Río Paucerna, 4 km upstream from Río Itenez"
81,Taraba_major_LSU60855,Taraba major,Taraba major,Taraba major,Thamnophilidae,LSUMZ-B,60855,LSUMZ,180737,"HONDURAS: Atlántida , Lancetilla Botanical Garden"
