Sequence,TipLabel,Family2,Order2,Avibase.ID2,FamilyTotal.ClementFam,FamilyTotal.Freq,FamilyIncluded.Var1,FamilyIncluded.Freq,Completeness,synonym,notes
48,Dendrocygna_arborea,Anatidae,Anseriformes,AVIBASE-DC65FCE7,Anatidae,174,Anatidae,139,0.80,,
49,Dendrocygna_eytoni,Anatidae,Anseriformes,AVIBASE-A467AD00,Anatidae,174,Anatidae,139,0.80,,
50,Dendrocygna_guttata,Anatidae,Anseriformes,AVIBASE-1AAB20B0,Anatidae,174,Anatidae,139,0.80,,
51,Dendrocygna_viduata,Anatidae,Anseriformes,AVIBASE-A534AFEA,Anatidae,174,Anatidae,139,0.80,,
52,Dendrocygna_bicolor,Anatidae,Anseriformes,AVIBASE-9A60617E,Anatidae,174,Anatidae,139,0.80,,
53,Dendrocygna_javanica,Anatidae,Anseriformes,AVIBASE-BD683E6E,Anatidae,174,Anatidae,139,0.80,,
54,Dendrocygna_arcuata,Anatidae,Anseriformes,AVIBASE-69D272A6,Anatidae,174,Anatidae,139,0.80,,
55,Biziura_lobata,Anatidae,Anseriformes,AVIBASE-623B61C4,Anatidae,174,Anatidae,139,0.80,,
56,Stictonetta_naevosa,Anatidae,Anseriformes,AVIBASE-E93960AB,Anatidae,174,Anatidae,139,0.80,,
57,Heteronetta_atricapilla,Anatidae,Anseriformes,AVIBASE-5ACD60F4,Anatidae,174,Anatidae,139,0.80,,
58,Nettapus_auritus,Anatidae,Anseriformes,AVIBASE-EC7C1618,Anatidae,174,Anatidae,139,0.80,,
59,Nettapus_pulchellus,Anatidae,Anseriformes,AVIBASE-D040868F,Anatidae,174,Anatidae,139,0.80,,
60,Nettapus_coromandelianus,Anatidae,Anseriformes,AVIBASE-90AAE188,Anatidae,174,Anatidae,139,0.80,,
61,Nomonyx_dominicus,Anatidae,Anseriformes,AVIBASE-98C6F885,Anatidae,174,Anatidae,139,0.80,,
62,Oxyura_vittata,Anatidae,Anseriformes,AVIBASE-079A8245,Anatidae,174,Anatidae,139,0.80,,
63,Oxyura_jamaicensis,Anatidae,Anseriformes,AVIBASE-675EEA7F,Anatidae,174,Anatidae,139,0.80,,
64,Oxyura_ferruginea,Anatidae,Anseriformes,AVIBASE-3DB916F5,Anatidae,174,Anatidae,139,0.80,,
65,Oxyura_australis,Anatidae,Anseriformes,AVIBASE-672BA2DA,Anatidae,174,Anatidae,139,0.80,,
66,Oxyura_maccoa,Anatidae,Anseriformes,AVIBASE-1C2F4E80,Anatidae,174,Anatidae,139,0.80,,
67,Oxyura_leucocephala,Anatidae,Anseriformes,AVIBASE-2E40EF2C,Anatidae,174,Anatidae,139,0.80,,
68,Malacorhynchus_membranaceus,Anatidae,Anseriformes,AVIBASE-FE03DD1E,Anatidae,174,Anatidae,139,0.80,,
69,Coscoroba_coscoroba,Anatidae,Anseriformes,AVIBASE-A3A0E8FE,Anatidae,174,Anatidae,139,0.80,,
70,Cereopsis_novaehollandiae,Anatidae,Anseriformes,AVIBASE-CA875F31,Anatidae,174,Anatidae,139,0.80,,
71,Cygnus_melancoryphus,Anatidae,Anseriformes,AVIBASE-B8C652E6,Anatidae,174,Anatidae,139,0.80,,
72,Cygnus_olor,Anatidae,Anseriformes,AVIBASE-694C127A,Anatidae,174,Anatidae,139,0.80,,
73,Cygnus_atratus,Anatidae,Anseriformes,AVIBASE-46B54DB1,Anatidae,174,Anatidae,139,0.80,,
74,Cygnus_cygnus,Anatidae,Anseriformes,AVIBASE-BDDB5670,Anatidae,174,Anatidae,139,0.80,,
75,Cygnus_bewickii,Anatidae,Anseriformes,AVIBASE-3D8F0A76,Anatidae,174,Anatidae,139,0.80,,
76,Cygnus_columbianus,Anatidae,Anseriformes,AVIBASE-0BCBA6B9,Anatidae,174,Anatidae,139,0.80,,
77,Cygnus_buccinator,Anatidae,Anseriformes,AVIBASE-B86C504C,Anatidae,174,Anatidae,139,0.80,,
78,Branta_ruficollis,Anatidae,Anseriformes,AVIBASE-0D280B3F,Anatidae,174,Anatidae,139,0.80,,
79,Branta_leucopsis,Anatidae,Anseriformes,AVIBASE-3163ED86,Anatidae,174,Anatidae,139,0.80,,
80,Branta_sandvicensis,Anatidae,Anseriformes,AVIBASE-EDB18078,Anatidae,174,Anatidae,139,0.80,,
81,Anser_rossii,Anatidae,Anseriformes,AVIBASE-7A24F57F,Anatidae,174,Anatidae,139,0.80,,
82,Anser_canagicus,Anatidae,Anseriformes,AVIBASE-1E6F0F8D,Anatidae,174,Anatidae,139,0.80,,
83,Anser_indicus,Anatidae,Anseriformes,AVIBASE-B7159EF0,Anatidae,174,Anatidae,139,0.80,,
84,Anser_brachyrhynchus,Anatidae,Anseriformes,AVIBASE-AFA7EE74,Anatidae,174,Anatidae,139,0.80,,
85,Anser_erythropus,Anatidae,Anseriformes,AVIBASE-184D2329,Anatidae,174,Anatidae,139,0.80,,
86,Anser_fabalis,Anatidae,Anseriformes,AVIBASE-BDB497A3,Anatidae,174,Anatidae,139,0.80,,
87,Anser_middendorffii,Anatidae,Anseriformes,AVIBASE-97E7761F,Anatidae,174,Anatidae,139,0.80,,
88,Aix_sponsa,Anatidae,Anseriformes,AVIBASE-27B2749A,Anatidae,174,Anatidae,139,0.80,,
89,Aix_galericulata,Anatidae,Anseriformes,AVIBASE-E1714A09,Anatidae,174,Anatidae,139,0.80,,
90,Oressochen_melanopterus,Anatidae,Anseriformes,AVIBASE-BB29610F,Anatidae,174,Anatidae,139,0.80,,
91,Oressochen_jubatus,Anatidae,Anseriformes,AVIBASE-FA5A25B2,Anatidae,174,Anatidae,139,0.80,,
92,Chloephaga_hybrida,Anatidae,Anseriformes,AVIBASE-4270502F,Anatidae,174,Anatidae,139,0.80,,
93,Chloephaga_picta,Anatidae,Anseriformes,AVIBASE-74FC5DAB,Anatidae,174,Anatidae,139,0.80,,
94,Chloephaga_rubidiceps,Anatidae,Anseriformes,AVIBASE-164A10EA,Anatidae,174,Anatidae,139,0.80,,
95,Chloephaga_poliocephala,Anatidae,Anseriformes,AVIBASE-E0DEB0E7,Anatidae,174,Anatidae,139,0.80,,
96,Tadorna_radjah,Anatidae,Anseriformes,AVIBASE-13B373F3,Anatidae,174,Anatidae,139,0.80,Radjah radjah,
97,Alopochen_aegyptiaca,Anatidae,Anseriformes,AVIBASE-DA2F24E3,Anatidae,174,Anatidae,139,0.80,,
98,Tadorna_tadorna,Anatidae,Anseriformes,AVIBASE-5EAB32D3,Anatidae,174,Anatidae,139,0.80,,
99,Tadorna_variegata,Anatidae,Anseriformes,AVIBASE-AB08E5C4,Anatidae,174,Anatidae,139,0.80,,
100,Tadorna_cana,Anatidae,Anseriformes,AVIBASE-D9DEA77E,Anatidae,174,Anatidae,139,0.80,,
101,Tadorna_ferruginea,Anatidae,Anseriformes,AVIBASE-1F9D883E,Anatidae,174,Anatidae,139,0.80,,
102,Tadorna_tadornoides,Anatidae,Anseriformes,AVIBASE-FF1439E4,Anatidae,174,Anatidae,139,0.80,,
103,Merganetta_armata,Anatidae,Anseriformes,AVIBASE-C1068510,Anatidae,174,Anatidae,139,0.80,,
104,Callonetta_leucophrys,Anatidae,Anseriformes,AVIBASE-45C1096F,Anatidae,174,Anatidae,139,0.80,,
105,Clangula_hyemalis,Anatidae,Anseriformes,AVIBASE-AF0C7BDE,Anatidae,174,Anatidae,139,0.80,,
106,Histrionicus_histrionicus,Anatidae,Anseriformes,AVIBASE-BCBD2EAE,Anatidae,174,Anatidae,139,0.80,,
107,Polysticta_stelleri,Anatidae,Anseriformes,AVIBASE-BA07D016,Anatidae,174,Anatidae,139,0.80,,
108,Somateria_fischeri,Anatidae,Anseriformes,AVIBASE-7D8BF5CC,Anatidae,174,Anatidae,139,0.80,,
109,Somateria_spectabilis,Anatidae,Anseriformes,AVIBASE-F3D74914,Anatidae,174,Anatidae,139,0.80,,
110,Somateria_mollissima,Anatidae,Anseriformes,AVIBASE-B77377EE,Anatidae,174,Anatidae,139,0.80,,
111,Melanitta_fusca,Anatidae,Anseriformes,AVIBASE-BAF44E36,Anatidae,174,Anatidae,139,0.80,,
112,Melanitta_perspicillata,Anatidae,Anseriformes,AVIBASE-624078BA,Anatidae,174,Anatidae,139,0.80,,
113,Melanitta_nigra,Anatidae,Anseriformes,AVIBASE-24698199,Anatidae,174,Anatidae,139,0.80,,
114,Melanitta_americana,Anatidae,Anseriformes,AVIBASE-B7B1A5DD,Anatidae,174,Anatidae,139,0.80,,
115,Bucephala_albeola,Anatidae,Anseriformes,AVIBASE-FB738385,Anatidae,174,Anatidae,139,0.80,,
116,Bucephala_clangula,Anatidae,Anseriformes,AVIBASE-68EA281A,Anatidae,174,Anatidae,139,0.80,,
117,Bucephala_islandica,Anatidae,Anseriformes,AVIBASE-9456DEDF,Anatidae,174,Anatidae,139,0.80,,
118,Mergellus_albellus,Anatidae,Anseriformes,AVIBASE-F1F52036,Anatidae,174,Anatidae,139,0.80,,
119,Lophodytes_cucullatus,Anatidae,Anseriformes,AVIBASE-60E6081E,Anatidae,174,Anatidae,139,0.80,,
120,Mergus_serrator,Anatidae,Anseriformes,AVIBASE-8DB64266,Anatidae,174,Anatidae,139,0.80,,
121,Mergus_squamatus,Anatidae,Anseriformes,AVIBASE-561D77FF,Anatidae,174,Anatidae,139,0.80,,
122,Mergus_merganser,Anatidae,Anseriformes,AVIBASE-407E2CA8,Anatidae,174,Anatidae,139,0.80,,
123,Chenonetta_jubata,Anatidae,Anseriformes,AVIBASE-149A8E7E,Anatidae,174,Anatidae,139,0.80,,
124,Sarkidiornis_melanotos,Anatidae,Anseriformes,AVIBASE-3948131B,Anatidae,174,Anatidae,139,0.80,,
125,Hymenolaimus_malacorhynchos,Anatidae,Anseriformes,AVIBASE-C7FB4E76,Anatidae,174,Anatidae,139,0.80,,
126,Cyanochen_cyanoptera,Anatidae,Anseriformes,AVIBASE-842CC0BC,Anatidae,174,Anatidae,139,0.80,,
127,Pteronetta_hartlaubii,Anatidae,Anseriformes,AVIBASE-F28E3EB8,Anatidae,174,Anatidae,139,0.80,,
128,Plectropterus_gambensis,Anatidae,Anseriformes,AVIBASE-EB01B24C,Anatidae,174,Anatidae,139,0.80,,
