Sequence,TipLabel,Family2,Order2,Avibase.ID2,FamilyTotal.ClementFam,FamilyTotal.Freq,FamilyIncluded.Var1,FamilyIncluded.Freq,Completeness,synonym,notes
1443,Macronectes_halli,Procellariidae,Procellariiformes,AVIBASE-F504C8DE,Procellariidae,97,Procellariidae,88,0.91,,
1444,Macronectes_giganteus,Procellariidae,Procellariiformes,AVIBASE-C1706A8B,Procellariidae,97,Procellariidae,88,0.91,,
1445,Aphrodroma_brevirostris,Procellariidae,Procellariiformes,AVIBASE-62797BD3,Procellariidae,97,Procellariidae,88,0.91,,
1446,Pelecanoides_garnotii,Procellariidae,Procellariiformes,AVIBASE-770BA3E8,Procellariidae,97,Procellariidae,88,0.91,,
1447,Pelecanoides_urinatrix,Procellariidae,Procellariiformes,AVIBASE-8A40716A,Procellariidae,97,Procellariidae,88,0.91,,
1448,Pelecanoides_magellani,Procellariidae,Procellariiformes,AVIBASE-C849C714,Procellariidae,97,Procellariidae,88,0.91,,
1449,Pelecanoides_georgicus,Procellariidae,Procellariiformes,AVIBASE-1838EC86,Procellariidae,97,Procellariidae,88,0.91,,
1450,Halobaena_caerulea,Procellariidae,Procellariiformes,AVIBASE-68D6A13A,Procellariidae,97,Procellariidae,88,0.91,,
1451,Pachyptila_crassirostris,Procellariidae,Procellariiformes,AVIBASE-FF7A685E,Procellariidae,97,Procellariidae,88,0.91,,
1452,Pachyptila_turtur,Procellariidae,Procellariiformes,AVIBASE-ED1DDABB,Procellariidae,97,Procellariidae,88,0.91,,
1453,Pachyptila_macgillivrayi,Procellariidae,Procellariidae,AVIBASE-A8433A58,Procellariidae,97,Procellariidae,88,0.91,,birdlife-avonet synonymy
1454,Pachyptila_vittata,Procellariidae,Procellariiformes,AVIBASE-93860B9B,Procellariidae,97,Procellariidae,88,0.91,,
1455,Pachyptila_belcheri,Procellariidae,Procellariiformes,AVIBASE-0D885A80,Procellariidae,97,Procellariidae,88,0.91,,
1456,Pachyptila_salvini,Procellariidae,Procellariiformes,AVIBASE-B3C87FEE,Procellariidae,97,Procellariidae,88,0.91,,
1457,Pachyptila_desolata,Procellariidae,Procellariiformes,AVIBASE-105C306C,Procellariidae,97,Procellariidae,88,0.91,,
1458,Pterodroma_hypoleuca,Procellariidae,Procellariiformes,AVIBASE-C69447E2,Procellariidae,97,Procellariidae,88,0.91,,
1459,Pterodroma_magentae,Procellariidae,Procellariiformes,AVIBASE-44C20FFF,Procellariidae,97,Procellariidae,88,0.91,,
1460,Pterodroma_lessonii,Procellariidae,Procellariiformes,AVIBASE-7C787E7D,Procellariidae,97,Procellariidae,88,0.91,,
1461,Pterodroma_incerta,Procellariidae,Procellariiformes,AVIBASE-23865D25,Procellariidae,97,Procellariidae,88,0.91,,
1462,Pterodroma_imberi,Procellariidae,Procellariiformes,AVIBASE-7B38C351,Procellariidae,97,Procellariidae,88,0.91,,extinct
1463,Pterodroma_hasitata,Procellariidae,Procellariiformes,AVIBASE-A01D9D21,Procellariidae,97,Procellariidae,88,0.91,,
1464,Pterodroma_cahow,Procellariidae,Procellariiformes,AVIBASE-F6533C4B,Procellariidae,97,Procellariidae,88,0.91,,
1465,Pterodroma_madeira,Procellariidae,Procellariiformes,AVIBASE-A6EA486B,Procellariidae,97,Procellariidae,88,0.91,,
1466,Pterodroma_feae,Procellariidae,Procellariiformes,AVIBASE-26B5280F,Procellariidae,97,Procellariidae,88,0.91,,
1467,Pterodroma_deserta,Procellariidae,Procellariiformes,AVIBASE-F93629B0,Procellariidae,97,Procellariidae,88,0.91,,birdlife-avonet synonymy
1468,Pterodroma_longirostris,Procellariidae,Procellariiformes,AVIBASE-0F0F66EF,Procellariidae,97,Procellariidae,88,0.91,,
1469,Pterodroma_cookii,Procellariidae,Procellariiformes,AVIBASE-5C61DD1B,Procellariidae,97,Procellariidae,88,0.91,,
1470,Pterodroma_pycrofti,Procellariidae,Procellariiformes,AVIBASE-3786AD4E,Procellariidae,97,Procellariidae,88,0.91,,
1471,Pterodroma_leucoptera,Procellariidae,Procellariiformes,AVIBASE-A27F9AF6,Procellariidae,97,Procellariidae,88,0.91,,
1472,Pterodroma_brevipes,Procellariidae,Procellariiformes,AVIBASE-6983FAD1,Procellariidae,97,Procellariidae,88,0.91,,
1473,Pterodroma_nigripennis,Procellariidae,Procellariiformes,AVIBASE-AE186136,Procellariidae,97,Procellariidae,88,0.91,,
1474,Pterodroma_solandri,Procellariidae,Procellariiformes,AVIBASE-F654D59E,Procellariidae,97,Procellariidae,88,0.91,,
1475,Pterodroma_axillaris,Procellariidae,Procellariiformes,AVIBASE-C398A0EA,Procellariidae,97,Procellariidae,88,0.91,,
1476,Pterodroma_inexpectata,Procellariidae,Procellariiformes,AVIBASE-B829AC03,Procellariidae,97,Procellariidae,88,0.91,,
1477,Pterodroma_neglecta,Procellariidae,Procellariiformes,AVIBASE-889232C7,Procellariidae,97,Procellariidae,88,0.91,,
1478,Pterodroma_arminjoniana,Procellariidae,Procellariiformes,AVIBASE-8116523B,Procellariidae,97,Procellariidae,88,0.91,,
1479,Pterodroma_alba,Procellariidae,Procellariiformes,AVIBASE-4B5CC270,Procellariidae,97,Procellariidae,88,0.91,,
1480,Pterodroma_heraldica,Procellariidae,Procellariiformes,AVIBASE-6C348817,Procellariidae,97,Procellariidae,88,0.91,,
1481,Pterodroma_ultima,Procellariidae,Procellariiformes,AVIBASE-32AC75A8,Procellariidae,97,Procellariidae,88,0.91,,
1482,Pterodroma_cervicalis,Procellariidae,Procellariiformes,AVIBASE-754775F5,Procellariidae,97,Procellariidae,88,0.91,,
1483,Pterodroma_externa,Procellariidae,Procellariiformes,AVIBASE-DC2BA23B,Procellariidae,97,Procellariidae,88,0.91,,
1484,Pterodroma_phaeopygia,Procellariidae,Procellariiformes,AVIBASE-0DF68A87,Procellariidae,97,Procellariidae,88,0.91,,
1485,Pterodroma_baraui,Procellariidae,Procellariiformes,AVIBASE-D956176F,Procellariidae,97,Procellariidae,88,0.91,,
1486,Pterodroma_sandwichensis,Procellariidae,Procellariiformes,AVIBASE-E4AFFBF2,Procellariidae,97,Procellariidae,88,0.91,,
1487,Bulweria_bulwerii,Procellariidae,Procellariiformes,AVIBASE-058773E4,Procellariidae,97,Procellariidae,88,0.91,,
1488,Pseudobulweria_macgillivrayi,Procellariidae,Procellariiformes,AVIBASE-54D9B4DB,Procellariidae,97,Procellariidae,88,0.91,,
1489,Pseudobulweria_aterrima,Procellariidae,Procellariiformes,AVIBASE-9331EDA7,Procellariidae,97,Procellariidae,88,0.91,,
1490,Pseudobulweria_becki,Procellariidae,Procellariiformes,AVIBASE-AA1E16FC,Procellariidae,97,Procellariidae,88,0.91,,
1491,Pseudobulweria_rostrata,Procellariidae,Procellariiformes,AVIBASE-FCFBB7D9,Procellariidae,97,Procellariidae,88,0.91,,
1492,Procellaria_westlandica,Procellariidae,Procellariiformes,AVIBASE-9057992B,Procellariidae,97,Procellariidae,88,0.91,,
1493,Procellaria_cinerea,Procellariidae,Procellariiformes,AVIBASE-843C1B86,Procellariidae,97,Procellariidae,88,0.91,,
1494,Procellaria_parkinsoni,Procellariidae,Procellariiformes,AVIBASE-DB67DB1F,Procellariidae,97,Procellariidae,88,0.91,,
1495,Procellaria_aequinoctialis,Procellariidae,Procellariiformes,AVIBASE-35EB45A0,Procellariidae,97,Procellariidae,88,0.91,,
1496,Procellaria_conspicillata,Procellariidae,Procellariiformes,AVIBASE-F2ED14C9,Procellariidae,97,Procellariidae,88,0.91,,
1497,Calonectris_leucomelas,Procellariidae,Procellariiformes,AVIBASE-13B165A3,Procellariidae,97,Procellariidae,88,0.91,,
1498,Calonectris_borealis,Procellariidae,Procellariiformes,AVIBASE-710BB4E6,Procellariidae,97,Procellariidae,88,0.91,,birdlife-avonet synonymy
1499,Calonectris_diomedea,Procellariidae,Procellariiformes,AVIBASE-FF3D837A,Procellariidae,97,Procellariidae,88,0.91,,
1500,Calonectris_edwardsii,Procellariidae,Procellariiformes,AVIBASE-D6AB20A5,Procellariidae,97,Procellariidae,88,0.91,,
1501,Ardenna_pacifica,Procellariidae,Procellariiformes,AVIBASE-E94A7272,Procellariidae,97,Procellariidae,88,0.91,,
1502,Ardenna_bulleri,Procellariidae,Procellariiformes,AVIBASE-83F9C058,Procellariidae,97,Procellariidae,88,0.91,,
1503,Ardenna_tenuirostris,Procellariidae,Procellariiformes,AVIBASE-60825BF6,Procellariidae,97,Procellariidae,88,0.91,,
1504,Ardenna_grisea,Procellariidae,Procellariiformes,AVIBASE-1725B07D,Procellariidae,97,Procellariidae,88,0.91,,
1505,Ardenna_creatopus,Procellariidae,Procellariiformes,AVIBASE-9A77D2B0,Procellariidae,97,Procellariidae,88,0.91,,
1506,Ardenna_gravis,Procellariidae,Procellariiformes,AVIBASE-8B879DFA,Procellariidae,97,Procellariidae,88,0.91,,
1507,Puffinus_nativitatis,Procellariidae,Procellariiformes,AVIBASE-EBFA76B4,Procellariidae,97,Procellariidae,88,0.91,,
1508,Puffinus_subalaris,Procellariidae,Procellariiformes,AVIBASE-5FE42C6D,Procellariidae,97,Procellariidae,88,0.91,,
1509,Puffinus_gavia,Procellariidae,Procellariiformes,AVIBASE-426C93D3,Procellariidae,97,Procellariidae,88,0.91,,
1510,Puffinus_huttoni,Procellariidae,Procellariiformes,AVIBASE-27FAC807,Procellariidae,97,Procellariidae,88,0.91,,
1511,Puffinus_loyemilleri,Procellariidae,Procellariiformes,AVIBASE-36259C6B,Procellariidae,97,Procellariidae,88,0.91,Puffinus lherminieri,
1512,Puffinus_boydi,Procellariidae,Procellariiformes,AVIBASE-C817F455,Procellariidae,97,Procellariidae,88,0.91,,
1513,Puffinus_baroli,Procellariidae,Procellariiformes,AVIBASE-5F555FDD,Procellariidae,97,Procellariidae,88,0.91,,
1514,Puffinus_yelkouan,Procellariidae,Procellariiformes,AVIBASE-FD97EC1E,Procellariidae,97,Procellariidae,88,0.91,,
1515,Puffinus_mauretanicus,Procellariidae,Procellariiformes,AVIBASE-42F573C7,Procellariidae,97,Procellariidae,88,0.91,,
1516,Puffinus_elegans,Procellariidae,Procellariiformes,AVIBASE-6F4BBFE2,Procellariidae,97,Procellariidae,88,0.91,,
1517,Puffinus_tunneyi,Procellariidae,Procellariiformes,AVIBASE-0205EDC6,Procellariidae,97,Procellariidae,88,0.91,Puffinus assimilis,
1518,Puffinus_bryani,Procellariidae,Procellariiformes,AVIBASE-4D3C7770,Procellariidae,97,Procellariidae,88,0.91,,
1519,Puffinus_opisthomelas,Procellariidae,Procellariiformes,AVIBASE-4FC153E1,Procellariidae,97,Procellariidae,88,0.91,,
1520,Puffinus_olsoni,Procellariidae,Procellariiformes,AVIBASE-22BD29C4,Procellariidae,97,Procellariidae,88,0.91,,extinct
1521,Puffinus_persicus,Procellariidae,Procellariiformes,AVIBASE-198120BB,Procellariidae,97,Procellariidae,88,0.91,,
1522,Puffinus_atrodorsalis,Procellariidae,Procellariiformes,AVIBASE-6DA05B66,Procellariidae,97,Procellariidae,88,0.91,Puffinus bailloni,
1523,Puffinus_bannermani,Procellariidae,Procellariiformes,AVIBASE-6B59E687,Procellariidae,97,Procellariidae,88,0.91,,
1524,Puffinus_newelli,Procellariidae,Procellariiformes,AVIBASE-445A0B00,Procellariidae,97,Procellariidae,88,0.91,,
1525,Puffinus_myrtae,Procellariidae,Procellariiformes,AVIBASE-869D13F7,Procellariidae,97,Procellariidae,88,0.91,,
1526,Phoebastria_albatrus,Diomedeidae,Procellariiformes,AVIBASE-B5565AD8,Diomedeidae,15,Diomedeidae,20,1.00,,
1527,Phoebastria_irrorata,Diomedeidae,Procellariiformes,AVIBASE-1BC289CB,Diomedeidae,15,Diomedeidae,20,1.00,,
1528,Phoebastria_immutabilis,Diomedeidae,Procellariiformes,AVIBASE-98FB6D4B,Diomedeidae,15,Diomedeidae,20,1.00,,
1529,Phoebastria_nigripes,Diomedeidae,Procellariiformes,AVIBASE-EE8ECB1D,Diomedeidae,15,Diomedeidae,20,1.00,,
1530,Diomedea_chionoptera,Diomedeidae,Procellariiformes,AVIBASE-A28D8D38,Diomedeidae,15,Diomedeidae,20,1.00,Diomedea exulans,
1531,Diomedea_amsterdamensis,Diomedeidae,Procellariiformes,AVIBASE-D93548A7,Diomedeidae,15,Diomedeidae,20,1.00,,birdlife-avonet synonymy
1532,Diomedea_dabbenena,Diomedeidae,Procellariiformes,AVIBASE-1048BC8A,Diomedeidae,15,Diomedeidae,20,1.00,,birdlife-avonet synonymy
1533,Diomedea_antipodensis,Diomedeidae,Procellariiformes,AVIBASE-89706CA9,Diomedeidae,15,Diomedeidae,20,1.00,,birdlife-avonet synonymy
1534,Phoebetria_palpebrata,Diomedeidae,Procellariiformes,AVIBASE-1819ECCE,Diomedeidae,15,Diomedeidae,20,1.00,,
1535,Phoebetria_fusca,Diomedeidae,Procellariiformes,AVIBASE-4976BF1D,Diomedeidae,15,Diomedeidae,20,1.00,,
1536,Thalassarche_carteri,Diomedeidae,Procellariiformes,AVIBASE-65882F71,Diomedeidae,15,Diomedeidae,20,1.00,,birdlife-avonet synonymy
1537,Thalassarche_chlororhynchos,Diomedeidae,Procellariiformes,AVIBASE-7709CE5C,Diomedeidae,15,Diomedeidae,20,1.00,,
1538,Thalassarche_chrysostoma,Diomedeidae,Procellariiformes,AVIBASE-0E4475F6,Diomedeidae,15,Diomedeidae,20,1.00,,
1539,Thalassarche_impavida,Diomedeidae,Procellariiformes,AVIBASE-4CDB783A,Diomedeidae,15,Diomedeidae,20,1.00,,birdlife-avonet synonymy
1540,Thalassarche_melanophrys,Diomedeidae,Procellariiformes,AVIBASE-F9CBC9EB,Diomedeidae,15,Diomedeidae,20,1.00,Thalassarche melanophris,
1541,Thalassarche_bulleri,Diomedeidae,Procellariiformes,AVIBASE-F79F09E1,Diomedeidae,15,Diomedeidae,20,1.00,,
1542,Thalassarche_steadi,Diomedeidae,Procellariiformes,AVIBASE-8E41D91E,Diomedeidae,15,Diomedeidae,20,1.00,,birdlife-avonet synonymy
1543,Thalassarche_cauta,Diomedeidae,Procellariiformes,AVIBASE-87797B47,Diomedeidae,15,Diomedeidae,20,1.00,,
1544,Thalassarche_salvini,Diomedeidae,Procellariiformes,AVIBASE-25428EB1,Diomedeidae,15,Diomedeidae,20,1.00,,
1545,Thalassarche_eremita,Diomedeidae,Procellariiformes,AVIBASE-253271CB,Diomedeidae,15,Diomedeidae,20,1.00,,
1546,Oceanites_gracilis,Oceanitidae,Procellariiformes,AVIBASE-934FEF66,Oceanitidae,10,Oceanitidae,8,0.80,,
1547,Fregetta_grallaria,Oceanitidae,Procellariiformes,AVIBASE-224E1093,Oceanitidae,10,Oceanitidae,8,0.80,,
1548,Fregetta_tropica,Oceanitidae,Procellariiformes,AVIBASE-ACE8EADE,Oceanitidae,10,Oceanitidae,8,0.80,,
1549,Fregetta_maoriana,Oceanitidae,Procellariiformes,AVIBASE-5DB83DA9,Oceanitidae,10,Oceanitidae,8,0.80,,
1550,Oceanites_oceanicus,Oceanitidae,Procellariiformes,AVIBASE-D295D249,Oceanitidae,10,Oceanitidae,8,0.80,,
1551,Nesofregetta_fuliginosa,Oceanitidae,Procellariiformes,AVIBASE-89BF14AC,Oceanitidae,10,Oceanitidae,8,0.80,,
1552,Garrodia_nereis,Oceanitidae,Procellariiformes,AVIBASE-F5C74C92,Oceanitidae,10,Oceanitidae,8,0.80,,
1553,Pelagodroma_marina,Oceanitidae,Procellariiformes,AVIBASE-E9DF118E,Oceanitidae,10,Oceanitidae,8,0.80,,
1554,Oceanodroma_homochroa,Hydrobatidae,Procellariiformes,AVIBASE-04B43245,Hydrobatidae,18,Hydrobatidae,17,0.94,Hydrobates homochroa,
1555,Oceanodroma_hornbyi,Hydrobatidae,Procellariiformes,AVIBASE-5F5C5FD3,Hydrobatidae,18,Hydrobatidae,17,0.94,Hydrobates hornbyi,
1556,Oceanodroma_tristrami,Hydrobatidae,Procellariiformes,AVIBASE-EDF95934,Hydrobatidae,18,Hydrobatidae,17,0.94,Hydrobates tristrami,
1557,Oceanodroma_monorhis,Hydrobatidae,Procellariiformes,AVIBASE-80DE8670,Hydrobatidae,18,Hydrobatidae,17,0.94,Hydrobates monorhis,
1558,Oceanodroma_matsudairae,Hydrobatidae,Procellariiformes,AVIBASE-6AA236DD,Hydrobatidae,18,Hydrobatidae,17,0.94,Hydrobates matsudairae,
1559,Oceanodroma_cheimomnestes,Hydrobatidae,Procellariiformes,AVIBASE-B57A7ED2,Hydrobatidae,18,Hydrobatidae,17,0.94,Hydrobates cheimomnestes,
1560,Oceanodroma_leucorhoa,Hydrobatidae,Procellariiformes,AVIBASE-C5FB15C6,Hydrobatidae,18,Hydrobatidae,17,0.94,Hydrobates leucorhous,
1561,Oceanodroma_socorroensis,Hydrobatidae,Procellariiformes,AVIBASE-C794DCC7,Hydrobatidae,18,Hydrobatidae,17,0.94,Hydrobates socorroensis,
1562,Oceanodroma_microsoma,Hydrobatidae,Procellariiformes,AVIBASE-183CC218,Hydrobatidae,18,Hydrobatidae,17,0.94,Hydrobates microsoma,
1563,Oceanodroma_tethys,Hydrobatidae,Procellariiformes,AVIBASE-7BE70E1F,Hydrobatidae,18,Hydrobatidae,17,0.94,Hydrobates tethys,
1564,Oceanodroma_melania,Hydrobatidae,Procellariiformes,AVIBASE-149499C6,Hydrobatidae,18,Hydrobatidae,17,0.94,Hydrobates melania,
1565,Oceanodroma_markhami,Hydrobatidae,Procellariiformes,AVIBASE-326E50B4,Hydrobatidae,18,Hydrobatidae,17,0.94,Hydrobates markhami,
1566,Oceanodroma_furcata,Hydrobatidae,Procellariiformes,AVIBASE-DD814006,Hydrobatidae,18,Hydrobatidae,17,0.94,Hydrobates furcatus,
1567,Hydrobates_pelagicus,Hydrobatidae,Procellariiformes,AVIBASE-E1638A37,Hydrobatidae,18,Hydrobatidae,17,0.94,,
1568,Oceanodroma_jabejabe,Hydrobatidae,Procellariiformes,AVIBASE-0F6A5DD6,Hydrobatidae,18,Hydrobatidae,17,0.94,Hydrobates jabejabe,
1569,Oceanodroma_monteiroi,Hydrobatidae,Procellariiformes,AVIBASE-3E579E5B,Hydrobatidae,18,Hydrobatidae,17,0.94,Hydrobates monteiroi,
1570,Oceanodroma_castro,Hydrobatidae,Procellariiformes,AVIBASE-D3FAE385,Hydrobatidae,18,Hydrobatidae,17,0.94,Hydrobates castro,
1571,Phaethon_lepturus,Phaethontidae,Phaethontiformes,AVIBASE-1D07B501,Phaethontidae,3,Phaethontidae,1,0.33,,
1572,Rhynochetus_jubatus,Rhynochetidae,Eurypygiformes,AVIBASE-227D77FB,Rhynochetidae,1,Rhynochetidae,1,1.00,Rhynochetos jubatus,
1573,Eurypyga_helias,Eurypygidae,Eurypygiformes,AVIBASE-900C590B,Eurypygidae,1,Eurypygidae,1,1.00,,
1574,Batrachostomus_moniliger,Podargidae,Caprimulgiformes,AVIBASE-8739173E,Podargidae,16,Podargidae,7,0.44,,
1575,Batrachostomus_septimus,Podargidae,Caprimulgiformes,AVIBASE-360A309E,Podargidae,16,Podargidae,7,0.44,,
1576,Batrachostomus_cornutus,Podargidae,Caprimulgiformes,AVIBASE-D3AF2371,Podargidae,16,Podargidae,7,0.44,,
1577,Rigidipenna_inexpectata,Podargidae,Caprimulgiformes,AVIBASE-42B0D7C0,Podargidae,16,Podargidae,7,0.44,,
1578,Podargus_ocellatus,Podargidae,Caprimulgiformes,AVIBASE-A9003A7B,Podargidae,16,Podargidae,7,0.44,,
1579,Podargus_strigoides,Podargidae,Caprimulgiformes,AVIBASE-8500F130,Podargidae,16,Podargidae,7,0.44,,
1580,Podargus_papuensis,Podargidae,Caprimulgiformes,AVIBASE-BA1D64E2,Podargidae,16,Podargidae,7,0.44,,
1581,Eurostopodus_papuensis,Caprimulgidae,Caprimulgiformes,AVIBASE-F84FF9EF,Caprimulgidae,7,Caprimulgidae,3,0.43,,
1582,Eurostopodus_argus,Caprimulgidae,Caprimulgiformes,AVIBASE-28BD3EB7,Caprimulgidae,7,Caprimulgidae,3,0.43,,
1583,Eurostopodus_mystacalis,Caprimulgidae,Caprimulgiformes,AVIBASE-8A6C3156,Caprimulgidae,7,Caprimulgidae,3,0.43,,
1584,Lyncornis_macrotis,Caprimulgidae,Caprimulgiformes,AVIBASE-C5E15B31,Caprimulgidae,2,Caprimulgidae,1,0.50,,
1585,Gactornis_enarratus,Caprimulgidae,Caprimulgiformes,AVIBASE-D0AA9105,Caprimulgidae,1,Caprimulgidae,1,1.00,,
1586,Lurocalis_rufiventris,Caprimulgidae,Caprimulgiformes,AVIBASE-FC8265D9,Caprimulgidae,86,Caprimulgidae,53,0.62,,
1587,Lurocalis_nattereri,Caprimulgidae,Caprimulgiformes,AVIBASE-D26E33B6,Caprimulgidae,86,Caprimulgidae,53,0.62,,
1588,Lurocalis_semitorquatus,Caprimulgidae,Caprimulgiformes,AVIBASE-518ADDBC,Caprimulgidae,86,Caprimulgidae,53,0.62,,
1589,Nyctiprogne_leucopyga,Caprimulgidae,Caprimulgiformes,AVIBASE-73F8FC01,Caprimulgidae,86,Caprimulgidae,53,0.62,,
1590,Nyctipolus_nigrescens,Caprimulgidae,Caprimulgiformes,AVIBASE-63F4EDD0,Caprimulgidae,86,Caprimulgidae,53,0.62,,
1591,Nyctidromus_anthonyi,Caprimulgidae,Caprimulgiformes,AVIBASE-D3D48681,Caprimulgidae,86,Caprimulgidae,53,0.62,,
1592,Nyctidromus_albicollis,Caprimulgidae,Caprimulgiformes,AVIBASE-F2CB69EC,Caprimulgidae,86,Caprimulgidae,53,0.62,,
1593,Setopagis_whitelyi,Caprimulgidae,Caprimulgiformes,AVIBASE-07D22CB7,Caprimulgidae,86,Caprimulgidae,53,0.62,,
1594,Uropsalis_lyra,Caprimulgidae,Caprimulgiformes,AVIBASE-59EE3240,Caprimulgidae,86,Caprimulgidae,53,0.62,,
1595,Uropsalis_segmentata,Caprimulgidae,Caprimulgiformes,AVIBASE-3981B194,Caprimulgidae,86,Caprimulgidae,53,0.62,,
1596,Setopagis_parvulus,Caprimulgidae,Caprimulgiformes,AVIBASE-A1EEC8FF,Caprimulgidae,86,Caprimulgidae,53,0.62,Setopagis parvula,
1597,Eleothreptus_anomalus,Caprimulgidae,Caprimulgiformes,AVIBASE-3B0F1017,Caprimulgidae,86,Caprimulgidae,53,0.62,,
1598,Eleothreptus_candicans,Caprimulgidae,Caprimulgiformes,AVIBASE-A3E1E0AC,Caprimulgidae,86,Caprimulgidae,53,0.62,,
1599,Hydropsalis_maculicaudus,Caprimulgidae,Caprimulgiformes,AVIBASE-28045DA0,Caprimulgidae,86,Caprimulgidae,53,0.62,,
1600,Hydropsalis_cayennensis,Caprimulgidae,Caprimulgiformes,AVIBASE-663835A6,Caprimulgidae,86,Caprimulgidae,53,0.62,,
1601,Hydropsalis_torquata,Caprimulgidae,Caprimulgiformes,AVIBASE-29AAC222,Caprimulgidae,86,Caprimulgidae,53,0.62,,
1602,Hydropsalis_climacocerca,Caprimulgidae,Caprimulgiformes,AVIBASE-27032D18,Caprimulgidae,86,Caprimulgidae,53,0.62,,
1603,Siphonorhis_brewsteri,Caprimulgidae,Caprimulgiformes,AVIBASE-5E7F4216,Caprimulgidae,86,Caprimulgidae,53,0.62,,
1604,Nyctiphrynus_rosenbergi,Caprimulgidae,Caprimulgiformes,AVIBASE-A7CDF961,Caprimulgidae,86,Caprimulgidae,53,0.62,,
1605,Nyctiphrynus_mcleodii,Caprimulgidae,Caprimulgiformes,AVIBASE-4175CC34,Caprimulgidae,86,Caprimulgidae,53,0.62,,
1606,Nyctiphrynus_yucatanicus,Caprimulgidae,Caprimulgiformes,AVIBASE-AD1A73F6,Caprimulgidae,86,Caprimulgidae,53,0.62,,
1607,Nyctiphrynus_ocellatus,Caprimulgidae,Caprimulgiformes,AVIBASE-F546974F,Caprimulgidae,86,Caprimulgidae,53,0.62,,
1608,Phalaenoptilus_nuttallii,Caprimulgidae,Caprimulgiformes,AVIBASE-D621FFC6,Caprimulgidae,86,Caprimulgidae,53,0.62,,
1609,Antrostomus_saturatus,Caprimulgidae,Caprimulgiformes,AVIBASE-67D59645,Caprimulgidae,86,Caprimulgidae,53,0.62,,
1610,Antrostomus_arizonae,Caprimulgidae,Caprimulgiformes,AVIBASE-CED2468C,Caprimulgidae,86,Caprimulgidae,53,0.62,,
1611,Antrostomus_vociferus,Caprimulgidae,Caprimulgiformes,AVIBASE-1A09655B,Caprimulgidae,86,Caprimulgidae,53,0.62,,
1612,Antrostomus_ridgwayi,Caprimulgidae,Caprimulgiformes,AVIBASE-C0F335B7,Caprimulgidae,86,Caprimulgidae,53,0.62,,
1613,Antrostomus_salvini,Caprimulgidae,Caprimulgiformes,AVIBASE-100B2E32,Caprimulgidae,86,Caprimulgidae,53,0.62,,
1614,Antrostomus_rufus,Caprimulgidae,Caprimulgiformes,AVIBASE-F331D204,Caprimulgidae,86,Caprimulgidae,53,0.62,,
1615,Antrostomus_carolinensis,Caprimulgidae,Caprimulgiformes,AVIBASE-8D3E8871,Caprimulgidae,86,Caprimulgidae,53,0.62,,
1616,Chordeiles_pusillus,Caprimulgidae,Caprimulgiformes,AVIBASE-897A81B0,Caprimulgidae,86,Caprimulgidae,53,0.62,,
1617,Podager_nacunda,Caprimulgidae,Caprimulgiformes,AVIBASE-6E297C5B,Caprimulgidae,86,Caprimulgidae,53,0.62,Chordeiles nacunda,
1618,Chordeiles_minor,Caprimulgidae,Caprimulgiformes,AVIBASE-24E39ACD,Caprimulgidae,86,Caprimulgidae,53,0.62,,
1619,Chordeiles_acutipennis,Caprimulgidae,Caprimulgiformes,AVIBASE-9690689D,Caprimulgidae,86,Caprimulgidae,53,0.62,,
1620,Chordeiles_rupestris,Caprimulgidae,Caprimulgiformes,AVIBASE-18D14B20,Caprimulgidae,86,Caprimulgidae,53,0.62,,
1621,Caprimulgus_manillensis,Caprimulgidae,Caprimulgiformes,AVIBASE-9D246A37,Caprimulgidae,86,Caprimulgidae,53,0.62,,
1622,Caprimulgus_madagascariensis,Caprimulgidae,Caprimulgiformes,AVIBASE-0F8EB10D,Caprimulgidae,86,Caprimulgidae,53,0.62,,
1623,Caprimulgus_indicus,Caprimulgidae,Caprimulgiformes,AVIBASE-5FF16559,Caprimulgidae,86,Caprimulgidae,53,0.62,,
1624,Caprimulgus_macrurus,Caprimulgidae,Caprimulgiformes,AVIBASE-04DDADF0,Caprimulgidae,86,Caprimulgidae,53,0.62,,
1625,Caprimulgus_inornatus,Caprimulgidae,Caprimulgiformes,AVIBASE-7C3959D6,Caprimulgidae,86,Caprimulgidae,53,0.62,,
1626,Caprimulgus_centralasicus,Caprimulgidae,Caprimulgiformes,AVIBASE-0BC7890E,Caprimulgidae,86,Caprimulgidae,53,0.62,,birdlife-avonet synonymy
1627,Caprimulgus_aegyptius,Caprimulgidae,Caprimulgiformes,AVIBASE-2F7F0244,Caprimulgidae,86,Caprimulgidae,53,0.62,,
1628,Caprimulgus_eximius,Caprimulgidae,Caprimulgiformes,AVIBASE-589694DD,Caprimulgidae,86,Caprimulgidae,53,0.62,,
1629,Caprimulgus_nigriscapularis,Caprimulgidae,Caprimulgiformes,AVIBASE-AB8E1D95,Caprimulgidae,86,Caprimulgidae,53,0.62,,
1630,Caprimulgus_poliocephalus,Caprimulgidae,Caprimulgiformes,AVIBASE-FF9908ED,Caprimulgidae,86,Caprimulgidae,53,0.62,,
1631,Caprimulgus_pectoralis,Caprimulgidae,Caprimulgiformes,AVIBASE-62ED1974,Caprimulgidae,86,Caprimulgidae,53,0.62,,
1632,Caprimulgus_batesi,Caprimulgidae,Caprimulgiformes,AVIBASE-CCA7AB2D,Caprimulgidae,86,Caprimulgidae,53,0.62,,
