taxon,nsites,ngenes,species,genus,family,order
Chloropsis_aurifrons,9622,11,Chloropsis_aurifrons,Chloropsis,Irenidae,Passeriformes
Promerops_cafer,8530,8,Promerops_cafer,Promerops,Nectariniidae,Passeriformes
Irena_puella,10054,12,Irena_puella,Irena,Irenidae,Passeriformes
Dicaeum_australe,9069,11,Dicaeum_australe,Dicaeum,Dicaeidae,Passeriformes
Nectarinia_olivacea,14055,15,Nectarinia_olivacea,Nectarinia,Nectariniidae,Passeriformes
Leptocoma_sperata,4008,5,Leptocoma_sperata,Leptocoma,Nectariniidae,Passeriformes
Melanocharis_nigra,14112,17,Melanocharis_nigra,Melanocharis,Melanocharitidae,Passeriformes
Paramythia_montium,5292,4,Paramythia_montium,Paramythia,Paramythiidae,Passeriformes
Prunella_modularis,16543,20,Prunella_modularis,Prunella,Passeridae,Passeriformes
Peucedramus_taeniatus,8709,11,Peucedramus_taeniatus,Peucedramus,Fringillidae,Passeriformes
Ploceus_cucullatus,28273,27,Ploceus_cucullatus,Ploceus,Ploceidae,Passeriformes
Urocynchramus_pylzowi,7101,9,Urocynchramus_pylzowi,Urocynchramus,Fringillidae,Passeriformes
Passer_montanus,32508,32,Passer_montanus,Passer,Passeridae,Passeriformes
Motacilla_alba,14363,18,Motacilla_alba,Motacilla,Motacillidae,Passeriformes
Taeniopygia_guttata,10351,10,Taeniopygia_guttata,Taeniopygia,Estrildidae,Passeriformes
Vidua_chalybeata,23809,24,Vidua_chalybeata,Vidua,Estrildidae,Passeriformes
Fringilla_montifringilla,31780,31,Fringilla_montifringilla,Fringilla,Fringillidae,Passeriformes
Rhodinocichla_rosea,7282,6,Rhodinocichla_rosea,Rhodinocichla,Thraupidae,Passeriformes
Plectrophenax_nivalis,12789,13,Plectrophenax_nivalis,Plectrophenax,Fringillidae,Passeriformes
Emberiza_schoeniclus,13380,14,Emberiza_schoeniclus,Emberiza,Fringillidae,Passeriformes
Ammodramus_humeralis,8809,10,Ammodramus_humeralis,Ammodramus,Passerellidae,Passeriformes
Arremonops_chloronotus,7271,6,Arremonops_chloronotus,Arremonops,Passerellidae,Passeriformes
Calyptophilus_frugivorus,7844,7,Calyptophilus_frugivorus,Calyptophilus,Thraupidae,Passeriformes
Zeledonia_coronata,12058,13,Zeledonia_coronata,Zeledonia,Parulidae,Passeriformes
Phaenicophilus_palmarum,8821,8,Phaenicophilus_palmarum,Phaenicophilus,Thraupidae,Passeriformes
Teretistris_fernandinae,10687,11,Teretistris_fernandinae,Teretistris,Parulidae,Passeriformes
Icterus_parisorum,11007,12,Icterus_parisorum,Icterus,Icteridae,Passeriformes
Setophaga_coronata,14410,16,Setophaga_coronata,Setophaga,Parulidae,Passeriformes
Cardinalis_cardinalis,18813,21,Cardinalis_cardinalis,Cardinalis,Fringillidae,Passeriformes
Mitrospingus_oleagineus,7237,6,Mitrospingus_oleagineus,Mitrospingus,Thraupidae,Passeriformes
Thraupis_episcopus,8161,11,Thraupis_episcopus,Thraupis,Thraupidae,Passeriformes
Rhea_americana,34973,32,Rhea_americana,Rhea,Rheidae,Rheiformes
Rhea_pennata,28651,29,Rhea_pennata,Rhea,Rheidae,Rheiformes
Nyctibius_grandis,33480,33,Nyctibius_grandis,Nyctibius,Nyctibiidae,Caprimulgiformes
Nyctibius_aethereus,4984,6,Nyctibius_aethereus,Nyctibius,Nyctibiidae,Caprimulgiformes
Gavia_immer,46092,39,Gavia_immer,Gavia,Gaviidae,Gaviiformes
Gavia_stellata,31721,26,Gavia_stellata,Gavia,Gaviidae,Gaviiformes
