taxon,nsites,ngenes,species,genus,family,order
Platyrinchus_mystaceus,6613,9,Platyrinchus_mystaceus,Platyrinchus,Tyrannidae,Passeriformes
Pipra_fasciicauda,8283,11,Pipra_fasciicauda,Pipra,Pipridae,Passeriformes
Tityra_semifasciata,9757,9,Tityra_semifasciata,Tityra,Tyrannidae,Passeriformes
Onychorhynchus_coronatus,7405,6,Onychorhynchus_coronatus,Onychorhynchus,Tyrannidae,Passeriformes
Oxyruncus_cristatus,9529,9,Oxyruncus_cristatus,Oxyruncus,Cotingidae,Passeriformes
Tachuris_rubrigastra,6104,5,Tachuris_rubrigastra,Tachuris,Tyrannidae,Passeriformes
Rhynchocyclus_brevirostris,6066,5,Rhynchocyclus_brevirostris,Rhynchocyclus,Tyrannidae,Passeriformes
Piprites_chloris,8751,8,Piprites_chloris,Piprites,Pipridae,Passeriformes
Tyrannus_tyrannus,32328,30,Tyrannus_tyrannus,Tyrannus,Tyrannidae,Passeriformes
Myrmornis_torquata,8644,8,Myrmornis_torquata,Myrmornis,Thamnophilidae,Passeriformes
Terenura_sharpei,8186,7,Terenura_sharpei,Terenura,Thamnophilidae,Passeriformes
Thamnophilus_nigrocinereus,27179,26,Thamnophilus_nigrocinereus,Thamnophilus,Thamnophilidae,Passeriformes
Conopophaga_aurita,6306,8,Conopophaga_aurita,Conopophaga,Conopophagidae,Passeriformes
Melanopareia_elegans,8938,8,Melanopareia_elegans,Melanopareia,Rhinocryptidae,Passeriformes
Scytalopus_spillmanni,5213,7,Scytalopus_spillmanni,Scytalopus,Rhinocryptidae,Passeriformes
Grallaria_varia,20392,21,Grallaria_varia,Grallaria,Formicariidae,Passeriformes
Formicarius_colma,8831,9,Formicarius_colma,Formicarius,Formicariidae,Passeriformes
Sclerurus_mexicanus,10303,10,Sclerurus_mexicanus,Sclerurus,Furnariidae,Passeriformes
Dendrocolaptes_hoffmannsi,3962,5,Dendrocolaptes_hoffmannsi,Dendrocolaptes,Dendrocolaptidae,Passeriformes
Furnarius_rufus,11334,12,Furnarius_rufus,Furnarius,Furnariidae,Passeriformes
Menura_novaehollandiae,34225,36,Menura_novaehollandiae,Menura,Menuridae,Passeriformes
Atrichornis_clamosus,4624,3,Atrichornis_clamosus,Atrichornis,Menuridae,Passeriformes
Climacteris_erythrops,25155,23,Climacteris_erythrops,Climacteris,Climacteridae,Passeriformes
Ptilonorhynchus_violaceus,17346,17,Ptilonorhynchus_violaceus,Ptilonorhynchus,Ptilonorhynchidae,Passeriformes
Malurus_melanocephalus,30150,30,Malurus_melanocephalus,Malurus,Maluridae,Passeriformes
Dasyornis_broadbenti,6686,7,Dasyornis_broadbenti,Dasyornis,Dasyornithidae,Passeriformes
Meliphaga_gracilis,4811,6,Meliphaga_gracilis,Meliphaga,Meliphagidae,Passeriformes
Acanthiza_pusilla,12828,14,Acanthiza_pusilla,Acanthiza,Acanthizidae,Passeriformes
Pardalotus_striatus,12157,12,Pardalotus_striatus,Pardalotus,Pardalotidae,Passeriformes
Petroica_multicolor,11113,15,Petroica_multicolor,Petroica,Petroicidae,Passeriformes
Orthonyx_temminckii,15051,17,Orthonyx_temminckii,Orthonyx,Orthonychidae,Passeriformes
Pomatostomus_halli,11462,13,Pomatostomus_halli,Pomatostomus,Timaliidae,Passeriformes
Cnemophilus_loriae,15027,17,Cnemophilus_loriae,Cnemophilus,Corvidae,Passeriformes
Mohoua_albicilla,11498,15,Mohoua_albicilla,Mohoua,Acanthizidae,Passeriformes
Eulacestoma_nigropectus,14169,19,Eulacestoma_nigropectus,Eulacestoma,NA,NA
Vireo_olivaceus,9714,13,Vireo_olivaceus,Vireo,Vireonidae,Passeriformes
Corcorax_melanorhamphos,14991,17,Corcorax_melanorhamphos,Corcorax,Corcoracidae,Passeriformes
Lanius_collaris,16386,20,Lanius_collaris,Lanius,Laniidae,Passeriformes
Ptilorrhoa_leucosticta,4238,5,Ptilorrhoa_leucosticta,Ptilorrhoa,Cinclosomatidae,Passeriformes
Struthidea_cinerea,8388,8,Struthidea_cinerea,Struthidea,Corcoracidae,Passeriformes
Daphoenositta_chrysoptera,12920,14,Daphoenositta_chrysoptera,Daphoenositta,NA,NA
Pachycephala_olivacea,7730,9,Pachycephala_olivacea,Pachycephala,NA,NA
Cinclosoma_punctatum,6548,9,Cinclosoma_punctatum,Cinclosoma,Cinclosomatidae,Passeriformes
Psophodes_olivaceus,12961,17,Psophodes_olivaceus,Psophodes,Cinclosomatidae,Passeriformes
Falcunculus_frontatus,19308,22,Falcunculus_frontatus,Falcunculus,NA,NA
Oreoica_gutturalis,18231,21,Oreoica_gutturalis,Oreoica,NA,NA
